,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
198,30517,31039,32223,33544,34552,35044,35463,35803,36267,36916,37562,38778,40203,42437,46199,49298,53664,57544,61848,65176,68494
199,9583,9664,9780,9807,9874,9952,9944,9930,9917,9935,9977,10205,10449,10741,11063,11314,11566,11807,12223,12512,12705
200,24449,25581,26244,26734,27910,28695,29124,29216,29773,30399,30985,31688,32464,33227,34082,34908,35405,36226,37205,38150,38971
201,43408,46434,49500,52459,55471,57203,58329,58710,59307,60341,61411,62466,63612,64805,65663,67512,69292,71088,72819,73812,75125
202,15690,17083,18430,19505,20546,21411,22164,22814,23438,24317,25159,26689,28046,29672,31062,32002,33363,34804,36285,37251,38333
203,33379,34479,36211,38274,40269,41481,42667,43316,44279,45142,45987,47153,47930,48888,49853,50742,51884,53113,54688,55877,56955
204,76972,76108,75191,74352,73451,73301,72678,71935,71106,70912,70809,71519,72024,72569,73245,73952,74466,75397,76375,77099,78090
205,35891,35647,35358,34566,33734,33428,33035,32357,31514,30883,30340,30930,31463,31745,32339,33046,33824,34585,35365,35860,36427
206,76473,78261,79626,81327,82930,85105,86024,86719,87548,88379,89337,91554,93642,96285,99901,103567,106026,108644,111455,113669,115960
207,11429,11662,12111,12520,13122,13819,14159,14507,14730,14901,15225,15656,16078,16463,17052,17581,17953,18384,18710,18938,19177
