"","sex","SA3","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011"
"814","F",50502,80700,80422,79863,79693,79849,80076,80733,81149,81389,81990,82584,82947,83485,84030,84556,85358,87840,89922,92390,94162,96543
"815","M",50502,75269,75275,75072,75150,75557,76038,76504,76774,76906,77296,78032,78559,79379,80375,81142,82237,84783,87268,89930,91662,94078
"817","F",50503,23225,24660,26555,28741,30460,32377,34517,36278,38169,40224,42152,44203,46891,50046,53460,57433,63026,68111,73205,76772,80682
"818","M",50503,23406,24829,26731,28929,30651,32567,34672,36419,38316,40329,42171,44239,46931,50139,53593,57510,62811,67729,72650,75974,79599
"820","F",50601,24635,25068,25451,25612,25826,26081,26123,26284,26218,26218,26304,26245,26183,26131,26051,26139,26831,27844,29162,30852,32611
"821","M",50601,24561,24971,25347,25501,25700,25901,25927,26056,26034,26036,26087,25959,25866,25910,25744,26160,26904,27965,29346,31006,32784
"823","F",50602,25210,25303,24981,25039,25333,25729,26023,26262,27017,27316,27144,27370,27484,27673,27858,28208,29202,30231,31294,32020,33075
"824","M",50602,23792,23908,23650,23746,24066,24475,24758,25025,25737,26022,26848,27223,27446,27793,28167,28779,29944,31372,32744,33642,34901
"826","F",50603,36867,37050,36955,37179,37601,38094,38665,39325,40031,40481,41324,41680,41932,42127,42237,42474,43609,44493,45378,46127,47109
"827","M",50603,35825,36056,36000,36259,36718,37231,37645,38132,38643,38943,39204,39853,40351,40812,41099,41547,42751,43941,45143,46032,47101
"829","F",50604,35553,36084,36405,36469,37027,37890,38630,38981,40030,40906,41668,42466,43541,44677,45837,46959,48509,50319,52189,53883,55388
"830","M",50604,36473,36968,37249,37256,37771,38592,39262,39613,40556,41326,41994,42871,44044,45443,46763,47999,49526,51588,53593,55367,57047
"832","F",50605,24197,24204,24156,24194,24225,24386,24491,24614,24364,24555,24615,24737,24884,25081,25540,25693,26296,26786,27285,27884,28359
"833","M",50605,24306,24230,24118,24079,24034,24110,24094,24116,24124,24134,24128,24326,24535,24828,25512,25730,26264,26754,27202,27688,28133
"835","F",50606,3988,4104,4280,4506,4750,4971,5083,5196,5379,5552,5719,5795,5927,6032,6247,6402,6820,7414,8054,8416,9062
"836","M",50606,4273,4375,4550,4785,5033,5261,5387,5508,5710,5892,6056,6180,6332,6459,6711,6892,7306,7849,8488,8840,9487
"838","F",50607,18771,18811,18633,18609,18690,18911,19022,19117,19273,19363,19403,19682,19915,20079,20259,20438,20818,21351,21773,21827,22128
"839","M",50607,16629,16822,16816,16962,17185,17526,17615,17722,17877,17977,18201,18694,19088,19453,19840,20161,20471,20880,21233,21238,21566
"841","F",50701,25596,26008,26249,26711,27449,28462,29133,29960,31121,32339,33251,34051,34594,35539,36470,37508,39368,41085,43132,44535,46277
"842","M",50701,25613,26081,26387,26919,27732,28773,29409,30216,31326,32460,33505,34330,34847,35825,36742,37812,39639,41349,43363,44668,46338
"844","F",50702,15582,15649,15621,15688,15783,15972,16149,16251,16360,16461,16534,16581,16638,16600,16570,16627,16932,17280,17636,17901,18372
"845","M",50702,15052,15116,15058,15125,15200,15386,15539,15709,15908,15997,16186,16522,16609,16605,16611,16697,16887,17118,17329,17445,17846
"847","F",50703,8899,9055,9236,9449,9636,9712,9903,10075,10240,10406,10497,10605,10755,10845,11039,11459,11971,12782,13611,14167,15017
"848","M",50703,8934,9228,9548,9906,10231,10430,10639,10842,11037,11216,11310,11440,11648,11748,12014,12527,12989,13700,14436,14965,15680
"850","F",50704,46913,47876,48265,48447,48734,49390,49802,50282,50797,51073,52167,52091,51957,51799,51703,51645,52206,52464,53032,53469,54071
"851","M",50704,44972,45898,46280,46481,46779,47389,47628,47956,48275,48418,48100,48177,48123,48004,47990,48084,48645,49031,49733,50152,50911
